km,reward
591.0,66845
1648.0,99522
1964.0,186531
2818.0,234092
3672.0,281653
3988.0,280073
4304.0,367082
4620.0,365502
4936.0,363922
5914.0,402391
6701.0,454865
7292.0,451910
7876.0,519268
8947.0,550918
10025.0,582055
10616.0,579100
11103.0,653571
11492.0,735227
11641.0,734482
11957.0,732902
12739.0,785742
13521.0,838582
14167.0,901394
14813.0,964206
15278.0,1040290
16484.0,1062042
17541.0,1094719
18082.0,1165230
18307.0,1164105
19089.0,1216945
19555.0,1214615
20096.0,1285126
20321.0,1284001
21103.0,1336841
22110.0,1373184
22335.0,1372059
23189.0,1419620
24043.0,1467181
24268.0,1560862
24493.0,1559737
25347.0,1607298
25736.0,1605353
26125.0,1687009
27035.0,1730464
27260.0,1729339
27906.0,1792151
28490.0,1859509
29272.0,1912349
30126.0,1959910
30613.0,2034381
31620.0,2070724
31845.0,2069599
32491.0,2132411
33075.0,2199769
33666.0,2266614
34723.0,2299291
35261.0,2370022
35944.0,2430121
36731.0,2482595
37322.0,2479640
38329.0,2515983
39336.0,2552326
39927.0,2619171
40518.0,2616216
40984.0,2613886
41300.0,2612306
42154.0,2659867
42692.0,2730598
43749.0,2763275
44340.0,2760320
44806.0,2757990
45122.0,2756410
45768.0,2819222
46639.0,2865537
47160.0,2937515
47681.0,3009493
47906.0,3008368
48552.0,3071180
49136.0,3138538
49623.0,3213009
50533.0,3256464
51404.0,3302779
52475.0,3334429
53013.0,3405160
53329.0,3403580
53645.0,3402000
53961.0,3489009
54186.0,3582690
54707.0,3654668
55518.0,3705382
56329.0,3756096
56850.0,3828074
57391.0,3898585
57707.0,3897005
58561.0,3944566
59099.0,4015297
59687.0,4082362
60333.0,4145174
61311.0,4183643
62514.0,4205615
63385.0,4251930
64031.0,4248700
64813.0,4301540
65279.0,4299210
66336.0,4331887
66927.0,4398732
67393.0,4474742
67709.0,4473162
68025.0,4560171
68341.0,4558591
69123.0,4611431
69738.0,4676516
70475.0,4732656
71212.0,4788796
71361.0,4788051
71510.0,4887305
72716.0,4909057
73307.0,4906102
73794.0,4980573
74183.0,4978628
75389.0,5000380
75980.0,4997425
76571.0,5064270
77628.0,5096947
77944.0,5095367
78260.0,5093787
78801.0,5164298
79342.0,5234809
79930.0,5301874
80667.0,5358014
81478.0,5408728
81674.0,5504535
82140.0,5502205
82456.0,5589214
82772.0,5587634
83088.0,5674643
83870.0,5727483
84461.0,5794328
85518.0,5827005
85834.0,5825425
86150.0,5823845
86466.0,5910854
87320.0,5958415
87709.0,5956470
88230.0,6028448
89101.0,6074763
89747.0,6071533
90725.0,6110002
90921.0,6205809
91703.0,6258649
92557.0,6306210
93240.0,6366309
93436.0,6365329
94027.0,6432174
94618.0,6429219
95105.0,6503690
95592.0,6578161
96058.0,6575831
96374.0,6574251
97020.0,6637063
97891.0,6683378
98762.0,6729693
99408.0,6726463
99724.0,6724883
100040.0,6723303
100265.0,6816984
100806.0,6887495
101122.0,6885915
101768.0,6948727
102548.0,7001714
102744.0,7000734
103359.0,7065819
103508.0,7065074
104096.0,7132139
104742.0,7128909
105058.0,7127329
105596.0,7198060
105985.0,7196115
106450.0,7272199
107428.0,7310668
107624.0,7309688
108090.0,7307358
108406.0,7305778
109188.0,7358618
109654.0,7434628
109970.0,7433048
110616.0,7495860
111262.0,7492630
112240.0,7531099
113443.0,7553071
113668.0,7551946
113893.0,7645627
114434.0,7716138
114750.0,7714558
115532.0,7767398
115998.0,7765068
116539.0,7835579
116764.0,7834454
117080.0,7832874
117546.0,7908884
118012.0,7906554
119069.0,7939231
120275.0,7960983
120424.0,7960238
120740.0,7958658
121056.0,7957078
121372.0,7955498
122226.0,8003059
122615.0,8001114
123004.0,8082770
123491.0,8157241
124106.0,8222326
125312.0,8244078
125903.0,8241123
126369.0,8238793
126907.0,8309524
127761.0,8357085
128077.0,8355505
128618.0,8426016
