taskid,bidAgent1,bidAgent2,totalBenef,margCost,totalCost,totalRevenu
0,1459,0,0,2191,2191,1459
1,1435,0,-732,2668,4859,2894
2,190,0,-1965,274,5133,3084
3,354,0,-2049,748,5881,3438
4,51,0,-2443,0,5881,3489
5,192,0,-2392,200,6081,3681
6,567,0,-2400,0,6081,4248
7,596,0,-1833,389,6470,4844
8,2524,0,-1626,2448,8919,7368
9,838,0,-1551,0,8918,8206
10,845,0,-712,416,9335,9051
11,523,0,-284,302,9637,9574
12,723,0,-63,662,10300,10297
13,681,0,-3,624,10924,10978
14,1346,0,53,1338,12262,12324
15,670,0,61,-808,11453,12994
16,1061,0,1540,913,12367,14055
17,655,0,1687,101,12469,14710
18,586,0,2240,436,12906,15296
19,1061,0,2390,1021,13927,16357
20,538,0,2429,0,13928,16895
21,2051,0,2967,1887,15815,18946
22,469,0,3131,168,15983,19415
23,1373,0,3432,1150,17133,20788
24,712,0,3655,-1727,15405,21500
25,2061,0,6094,2126,17532,23561
26,511,0,6029,-554,16977,24072
27,596,0,7094,-748,16229,24668
28,1840,0,8438,1839,18069,26508
29,511,0,8438,371,18441,27019
30,827,0,8578,778,19219,27846
31,1189,0,8627,1150,20369,29035
32,1027,0,8666,806,21175,30062
33,566,0,8886,-60,21114,30628
34,838,0,9513,-327,20787,31466
35,1260,0,10678,990,21778,32726
36,2041,0,10948,2040,23818,34767
37,670,0,10948,-470,23347,35437
38,566,0,12089,-718,22629,36003
39,595,0,13374,0,22629,36598
40,517,0,13969,-344,22284,37115
41,2316,0,14830,2448,24732,39431
42,810,0,14698,-306,24426,40241
43,709,0,15814,279,24705,40950
44,762,0,16244,737,25442,41712
45,1272,0,16269,985,26427,42984
46,2632,0,16556,2450,28877,45616
47,810,0,16738,-372,28505,46426
48,807,0,17920,725,29230,47233
49,2033,0,18002,2011,31241,49266
