taskid,bidAgent1,bidAgent2,totalBenef,margCost,totalCost,totalRevenu
0,1842,2246,0,2766,2766,1842
1,1380,2655,-924,2565,5331,3222
2,144,2289,-2109,-183,5148,3366
3,354,2050,-1782,748,5896,3720
4,51,2524,-2176,0,5896,3771
5,192,1228,-2125,0,5895,3963
6,567,2563,-1932,0,5896,4530
7,596,1245,-1366,0,5895,5126
8,1870,3341,-769,1814,7709,6996
9,2200,1826,-713,1699,7709,6996
10,1795,2587,-713,1381,9091,8791
11,523,2491,-300,220,9311,9314
12,596,3245,2,-949,8362,9910
13,1274,1197,1548,1167,8362,9910
14,1139,2708,1548,1132,9494,11049
15,670,1798,1554,-563,8930,11719
16,674,1525,2788,0,8931,12393
17,2173,2281,3462,1898,10829,14566
18,1027,3238,3737,949,11778,15593
19,585,3795,3815,563,12341,16178
20,2279,726,3836,2196,12341,16178
21,1810,1320,3836,1665,12341,16178
22,1675,1298,3836,1729,12341,16178
23,712,1542,3836,-1109,11232,16890
24,712,1542,5657,-183,11049,17602
25,3196,726,6552,3298,11049,17602
26,2558,726,6552,2530,11049,17602
27,2500,821,6552,2288,11049,17602
28,3178,1995,6552,3177,11049,17602
29,2916,726,6552,2885,11049,17602
30,2673,2302,6552,2512,11049,17602
31,535,726,6552,-347,10702,18137
32,4597,1278,7434,3612,10702,18137
33,3839,726,7434,3607,10702,18137
34,1378,1335,7434,1064,10702,18137
35,3607,1278,7434,2834,10702,18137
36,2100,726,7434,2099,10702,18137
37,3763,2761,7434,3249,10702,18137
38,3839,726,7434,3607,10702,18137
39,2470,812,7434,2263,10702,18137
40,5712,1874,7434,5617,10702,18137
41,2338,2713,7434,2471,13174,20475
42,1801,1278,7301,1415,13174,20475
43,1852,1071,7301,1555,13174,20475
44,835,726,7301,807,13174,20475
45,2497,1465,7301,1933,13174,20475
46,2043,1264,7301,1902,13174,20475
47,3162,1278,7301,2483,13174,20475
48,1765,1641,7301,1585,13174,20475
49,2885,2756,7301,2854,13174,20475
