taskid,bidAgent1,bidAgent2,totalBenef,margCost,totalCost,totalRevenu
0,2835,1459,0,2766,0,0
1,3263,1435,0,3279,0,0
2,2884,190,0,2789,0,0
3,2939,354,0,3031,0,0
4,3430,51,0,3626,0,0
5,614,192,0,575,0,0
6,3195,567,0,2905,0,0
7,1917,596,0,1639,0,0
8,1995,2524,0,1814,1814,1995
9,2536,3169,181,1700,3514,4531
10,2610,1534,1017,1740,3514,4531
11,726,523,1017,451,3514,4531
12,3263,2545,1017,2789,3514,4531
13,3891,1122,1017,3343,3514,4531
14,726,506,1017,648,3514,4531
15,2811,1187,1017,2185,3514,4531
16,1505,674,1017,1165,3514,4531
17,1458,1317,1017,1150,3514,4531
18,1300,1623,1017,1150,4664,5831
19,2097,1474,1167,1906,4664,5831
20,2638,538,1167,2399,4664,5831
21,1434,1806,1167,1249,5913,7265
