taskid,bidAgent1,bidAgent2,totalBenef,margCost,totalCost,totalRevenu
0,1459,2835,0,2191,2191,1459
1,1435,3263,-732,2668,4859,2894
2,190,2884,-1965,274,5133,3084
3,354,2939,-2049,748,5881,3438
4,51,3430,-2443,0,5880,3489
5,192,614,-2391,-359,5521,3681
6,567,3195,-1840,0,5521,4248
7,596,1917,-1273,0,5521,4844
8,2524,1995,-677,2448,5521,4844
9,3169,2536,-677,2448,5521,4844
10,1534,2610,-677,1180,6701,6378
11,523,726,-323,-431,6270,6901
12,2545,3263,631,2330,8600,9446
13,1122,3891,846,1028,9628,10568
14,506,726,939,-661,8966,11074
15,1187,2811,2107,1025,9992,12261
16,674,1505,2268,-1835,8157,12935
17,1317,1458,4777,1149,9307,14252
18,1623,1300,4945,1498,9307,14252
19,1474,2097,4945,1420,10727,15726
20,538,2638,4998,-1709,9017,16264
21,1806,1434,7246,1662,9017,16264
